  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.3501, 'grad_norm': 14099226.0, 'learning_rate': 0.00013572110792741163, 'epoch': 0.0}
{'loss': 27.2723, 'grad_norm': 3874224.75, 'learning_rate': 0.0001370582617000955, 'epoch': 0.0}
{'loss': 26.2295, 'grad_norm': 2047674.5, 'learning_rate': 0.00013839541547277937, 'epoch': 0.0}
{'loss': 27.2521, 'grad_norm': 4475656.0, 'learning_rate': 0.00013973256924546324, 'epoch': 0.0}
{'loss': 26.708, 'grad_norm': 1807987.0, 'learning_rate': 0.00014106972301814708, 'epoch': 0.0}
{'loss': 26.2605, 'grad_norm': 6988469.5, 'learning_rate': 0.00014240687679083094, 'epoch': 0.0}
{'loss': 27.141, 'grad_norm': 5514285.0, 'learning_rate': 0.0001437440305635148, 'epoch': 0.0}
{'loss': 26.9102, 'grad_norm': 8080344.5, 'learning_rate': 0.00014508118433619868, 'epoch': 0.0}
{'loss': 27.5505, 'grad_norm': 9475434.0, 'learning_rate': 0.00014641833810888252, 'epoch': 0.0}
{'loss': 26.3094, 'grad_norm': 29262916.0, 'learning_rate': 0.00014775549188156639, 'epoch': 0.0}
{'loss': 27.0647, 'grad_norm': 6544231.0, 'learning_rate': 0.00014909264565425023, 'epoch': 0.0}
{'loss': 27.5311, 'grad_norm': 13331746.0, 'learning_rate': 0.0001504297994269341, 'epoch': 0.0}
{'loss': 26.6929, 'grad_norm': 9092312.0, 'learning_rate': 0.00015176695319961796, 'epoch': 0.0}
{'loss': 26.8474, 'grad_norm': 9963701.0, 'learning_rate': 0.0001531041069723018, 'epoch': 0.0}
{'loss': 27.7948, 'grad_norm': 2500312.25, 'learning_rate': 0.00015444126074498567, 'epoch': 0.0}
{'loss': 27.8808, 'grad_norm': 11424776.0, 'learning_rate': 0.00015577841451766954, 'epoch': 0.0}
{'loss': 27.0563, 'grad_norm': 9413780.0, 'learning_rate': 0.0001571155682903534, 'epoch': 0.0}
{'loss': 27.2382, 'grad_norm': 10536367.0, 'learning_rate': 0.00015845272206303724, 'epoch': 0.0}
{'loss': 27.4466, 'grad_norm': 2549430.25, 'learning_rate': 0.0001597898758357211, 'epoch': 0.0}
