  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 18.5027, 'grad_norm': 8405721.0, 'learning_rate': 9.458483914354084e-06, 'epoch': 0.18}
{'loss': 20.8632, 'grad_norm': 7191441.5, 'learning_rate': 9.45827376550375e-06, 'epoch': 0.18}
{'loss': 19.9883, 'grad_norm': 5809450.0, 'learning_rate': 9.458063578220046e-06, 'epoch': 0.18}
{'loss': 19.4318, 'grad_norm': 13480919.0, 'learning_rate': 9.457853352504787e-06, 'epoch': 0.18}
{'loss': 21.569, 'grad_norm': 32747468.0, 'learning_rate': 9.457643088359783e-06, 'epoch': 0.18}
{'loss': 20.0472, 'grad_norm': 31287500.0, 'learning_rate': 9.457432785786849e-06, 'epoch': 0.18}
{'loss': 21.1021, 'grad_norm': 152388512.0, 'learning_rate': 9.457222444787795e-06, 'epoch': 0.18}
{'loss': 20.2794, 'grad_norm': 11854406.0, 'learning_rate': 9.457012065364437e-06, 'epoch': 0.18}
{'loss': 19.4479, 'grad_norm': 5075199.0, 'learning_rate': 9.456801647518587e-06, 'epoch': 0.18}
{'loss': 21.0053, 'grad_norm': 4397483.5, 'learning_rate': 9.456591191252061e-06, 'epoch': 0.18}
{'loss': 20.7214, 'grad_norm': 5461618.0, 'learning_rate': 9.456380696566672e-06, 'epoch': 0.18}
{'loss': 19.9474, 'grad_norm': 52400716.0, 'learning_rate': 9.456170163464234e-06, 'epoch': 0.18}
{'loss': 19.7029, 'grad_norm': 6757962.5, 'learning_rate': 9.455959591946561e-06, 'epoch': 0.18}
{'loss': 19.9168, 'grad_norm': 4127031.0, 'learning_rate': 9.455748982015468e-06, 'epoch': 0.18}
{'loss': 20.6725, 'grad_norm': 60529548.0, 'learning_rate': 9.455538333672775e-06, 'epoch': 0.18}
{'loss': 20.4488, 'grad_norm': 6563811.0, 'learning_rate': 9.455327646920297e-06, 'epoch': 0.18}
{'loss': 20.5635, 'grad_norm': 8659304.0, 'learning_rate': 9.455116921759846e-06, 'epoch': 0.18}
{'loss': 21.2782, 'grad_norm': 11961848.0, 'learning_rate': 9.45490615819324e-06, 'epoch': 0.18}
{'loss': 19.7214, 'grad_norm': 8733743.0, 'learning_rate': 9.454695356222299e-06, 'epoch': 0.18}
{'loss': 20.0919, 'grad_norm': 5934054.0, 'learning_rate': 9.454484515848837e-06, 'epoch': 0.18}
